fullVisitorId,channelGrouping,weekend_prop,hour,sessionId,device.browser,device.deviceCategory,device.isMobile,device.operatingSystem,totals.hits,totals.pageviews,bounce_prop,trafficSource.medium
213131142648941,Direct,0.0,22.0,1,Chrome,desktop,0.0,Macintosh,14.0,13.0,0.0,(none)
435324061339869,Referral,0.6666666666666666,21.0,3,Chrome,desktop,0.0,Macintosh,14.0,11.0,0.0,referral
562678147042735,Organic Search,0.0,14.0,2,Chrome,desktop,0.0,Macintosh,12.5,10.5,0.0,organic
585708896049892,Referral,0.0,20.0,1,Chrome,desktop,0.0,Linux,22.0,20.0,0.0,referral
670722016498267,Referral,0.0,17.0,2,Chrome,desktop,0.0,Linux,9.5,9.5,0.0,referral
852801263780322,Direct,0.0,20.0,1,Chrome,desktop,0.0,Linux,28.0,22.0,0.0,(none)
1123528056036404,Direct,0.0,15.0,1,Chrome,desktop,0.0,Windows,35.0,31.0,0.0,(none)
1905118576359487,Organic Search,0.0,16.0,2,Chrome,desktop,0.0,Macintosh,17.5,17.0,0.0,organic
2527528149176601,Organic Search,0.0,12.0,1,Safari,mobile,1.0,iOS,15.0,13.0,0.0,organic
2709834583138581,Direct,0.0,12.5,2,Firefox,desktop,0.0,Linux,8.0,8.0,0.5,(none)
2838359588704338,Organic Search,0.0,13.0,1,Safari,desktop,0.0,Macintosh,26.0,23.0,0.0,organic
2871498069867123,Referral,0.0,12.0,3,Chrome,desktop,0.0,Macintosh,5.0,5.0,0.0,referral
3038010493412298,Direct,1.0,20.0,2,Chrome,desktop,0.0,Macintosh,9.5,9.5,0.0,(none)
3438471796886087,Direct,0.6666666666666666,2.0,3,Chrome,desktop,0.0,Macintosh,15.0,14.0,0.0,(none)
3450834640354121,Organic Search,0.0,10.0,8,Chrome,desktop,0.0,Windows,13.0,10.5,0.125,organic
3717831825503026,Organic Search,0.0,3.0,2,Safari,mobile,1.0,iOS,15.5,15.0,0.5,organic
3961110741104601,Organic Search,0.5,2.5,2,Chrome,desktop,0.0,Macintosh,16.5,13.0,0.0,organic
4638983005167591,Referral,0.375,17.0,8,Chrome,desktop,0.0,Macintosh,3.0,3.0,0.25,referral
4868452367846670,Organic Search,0.14285714285714285,2.0,7,Chrome,desktop,0.0,Macintosh,1.0,1.0,0.5714285714285714,organic
5339642194263188,Organic Search,0.1875,16.0,16,Chrome,desktop,0.0,Windows,1.0,1.0,0.75,organic
5791622267997002,Display,0.0,20.5,6,Chrome,desktop,0.0,Windows,19.5,16.0,0.0,cpm
5879659021728039,Organic Search,0.0,14.0,5,Chrome,desktop,0.0,Macintosh,7.0,7.0,0.0,organic
5987390541733447,Organic Search,0.0,0.0,1,Chrome,desktop,0.0,Windows,42.0,37.0,0.0,organic
6173812362189693,Direct,0.0,17.5,8,Chrome,desktop,0.0,Macintosh,8.5,8.5,0.25,(none)
6366382357860597,Organic Search,0.0,21.0,3,Chrome,desktop,0.0,Macintosh,4.0,4.0,0.0,organic
6911334202687206,Organic Search,0.3333333333333333,5.0,3,Chrome,desktop,0.0,Macintosh,5.0,5.0,0.0,organic
7370307513460988,Referral,0.0,15.0,3,Chrome,desktop,0.0,Windows,29.0,21.0,0.0,referral
7610360596308606,Direct,0.0,15.0,1,Chrome,desktop,0.0,Windows,43.0,35.0,0.0,(none)
7617910709180468,Organic Search,0.25,17.5,4,Safari,desktop,0.0,Macintosh,15.5,13.5,0.0,organic
7785136914311905,Referral,0.0,17.5,6,Chrome,desktop,0.0,Macintosh,9.0,8.0,0.0,referral
7933257389091624,Direct,0.0,17.5,4,Chrome,desktop,0.0,Macintosh,8.0,6.5,0.0,(none)
7943880251511904,Referral,0.0,19.5,2,Chrome,desktop,0.0,Macintosh,21.0,16.0,0.0,referral
8569875679640708,Direct,0.0,7.0,1,Chrome,desktop,0.0,Macintosh,45.0,36.0,0.0,(none)
8635110543627771,Referral,0.0,18.0,3,Chrome,desktop,0.0,Chrome OS,35.0,21.0,0.0,referral
8803033727416939,Direct,0.0,19.0,1,Chrome,mobile,1.0,Android,16.0,13.0,0.0,(none)
9046037663524262,Organic Search,0.0,18.0,5,Chrome,desktop,0.0,Macintosh,12.0,9.0,0.0,organic
9644182629851608,Referral,0.0,14.0,2,Chrome,desktop,0.0,Macintosh,12.5,9.5,0.0,referral
10235349034444058,Referral,0.0,15.0,1,Chrome,desktop,0.0,Macintosh,15.0,12.0,0.0,referral
10295111715775250,Referral,0.0,0.5,2,Chrome,desktop,0.0,Linux,27.0,21.0,0.0,referral
