fullVisitorId,channelGrouping,weekend_prop,hour,sessionId,device.browser,device.deviceCategory,device.isMobile,device.operatingSystem,totals.hits,totals.pageviews,bounce_prop,trafficSource.medium,cluster
2.13131E+14,Direct,0,22,1,Chrome,desktop,0,Macintosh,14,13,0,(none),8
4.35324E+14,Referral,0.666666667,21,3,Chrome,desktop,0,Macintosh,14,11,0,referral,7
5.62678E+14,Organic Search,0,14,2,Chrome,desktop,0,Macintosh,12.5,10.5,0,organic,8
5.85709E+14,Referral,0,20,1,Chrome,desktop,0,Linux,22,20,0,referral,8
6.70722E+14,Referral,0,17,2,Chrome,desktop,0,Linux,9.5,9.5,0,referral,8
8.52801E+14,Direct,0,20,1,Chrome,desktop,0,Linux,28,22,0,(none),3
1.12353E+15,Direct,0,15,1,Chrome,desktop,0,Windows,35,31,0,(none),3
1.90512E+15,Organic Search,0,16,2,Chrome,desktop,0,Macintosh,17.5,17,0,organic,8
2.52753E+15,Organic Search,0,12,1,Safari,mobile,1,iOS,15,13,0,organic,4
2.70983E+15,Direct,0,12.5,2,Firefox,desktop,0,Linux,8,8,0.5,(none),2
2.83836E+15,Organic Search,0,13,1,Safari,desktop,0,Macintosh,26,23,0,organic,1
2.8715E+15,Referral,0,12,3,Chrome,desktop,0,Macintosh,5,5,0,referral,5
3.03801E+15,Direct,1,20,2,Chrome,desktop,0,Macintosh,9.5,9.5,0,(none),7
3.43847E+15,Direct,0.666666667,2,3,Chrome,desktop,0,Macintosh,15,14,0,(none),7
3.45083E+15,Organic Search,0,10,8,Chrome,desktop,0,Windows,13,10.5,0.125,organic,2
3.71783E+15,Organic Search,0,3,2,Safari,mobile,1,iOS,15.5,15,0.5,organic,0
3.96111E+15,Organic Search,0.5,2.5,2,Chrome,desktop,0,Macintosh,16.5,13,0,organic,7
4.63898E+15,Referral,0.375,17,8,Chrome,desktop,0,Macintosh,3,3,0.25,referral,6
4.86845E+15,Organic Search,0.142857143,2,7,Chrome,desktop,0,Macintosh,1,1,0.571428571,organic,6
5.33964E+15,Organic Search,0.1875,16,16,Chrome,desktop,0,Windows,1,1,0.75,organic,6
5.79162E+15,Display,0,20.5,6,Chrome,desktop,0,Windows,19.5,16,0,cpm,8
5.87966E+15,Organic Search,0,14,5,Chrome,desktop,0,Macintosh,7,7,0,organic,5
5.98739E+15,Organic Search,0,0,1,Chrome,desktop,0,Windows,42,37,0,organic,1
6.17381E+15,Direct,0,17.5,8,Chrome,desktop,0,Macintosh,8.5,8.5,0.25,(none),2
6.36638E+15,Organic Search,0,21,3,Chrome,desktop,0,Macintosh,4,4,0,organic,5
6.91133E+15,Organic Search,0.333333333,5,3,Chrome,desktop,0,Macintosh,5,5,0,organic,5
7.37031E+15,Referral,0,15,3,Chrome,desktop,0,Windows,29,21,0,referral,8
7.61036E+15,Direct,0,15,1,Chrome,desktop,0,Windows,43,35,0,(none),3
7.61791E+15,Organic Search,0.25,17.5,4,Safari,desktop,0,Macintosh,15.5,13.5,0,organic,7
7.78514E+15,Referral,0,17.5,6,Chrome,desktop,0,Macintosh,9,8,0,referral,5
7.93326E+15,Direct,0,17.5,4,Chrome,desktop,0,Macintosh,8,6.5,0,(none),5
7.94388E+15,Referral,0,19.5,2,Chrome,desktop,0,Macintosh,21,16,0,referral,8
8.56988E+15,Direct,0,7,1,Chrome,desktop,0,Macintosh,45,36,0,(none),1
8.63511E+15,Referral,0,18,3,Chrome,desktop,0,Chrome OS,35,21,0,referral,8
8.80303E+15,Direct,0,19,1,Chrome,mobile,1,Android,16,13,0,(none),4
9.04604E+15,Organic Search,0,18,5,Chrome,desktop,0,Macintosh,12,9,0,organic,5
9.64418E+15,Referral,0,14,2,Chrome,desktop,0,Macintosh,12.5,9.5,0,referral,8
1.02353E+16,Referral,0,15,1,Chrome,desktop,0,Macintosh,15,12,0,referral,8
1.02951E+16,Referral,0,0.5,2,Chrome,desktop,0,Linux,27,21,0,referral,1
1.10122E+16,Direct,0,3,1,Chrome,desktop,0,Chrome OS,26,13,0,(none),1
1.10187E+16,Referral,0,19,5,Chrome,desktop,0,Macintosh,14,8,0,referral,5
1.12234E+16,Organic Search,0,15,1,Chrome,desktop,0,Windows,29,22,0,organic,3
1.25595E+16,Organic Search,0,2,1,Edge,desktop,0,Windows,14,12,0,organic,1
1.25614E+16,Paid Search,0,3,3,Chrome,desktop,0,Chrome OS,37,30,0,cpc,1
1.3297E+16,Organic Search,0,1,1,Chrome,desktop,0,Windows,26,21,0,organic,1
1.39377E+16,Referral,0,13,4,Chrome,desktop,0,Macintosh,24,18.5,0,referral,8
1.4253E+16,Organic Search,0.5,20.5,2,Chrome,desktop,0,Windows,11.5,11,0,organic,7
1.42621E+16,Referral,0.125,12,8,Chrome,desktop,0,Macintosh,10.5,9.5,0.25,referral,2
1.56183E+16,Referral,1,2,1,Chrome,desktop,0,Windows,92,64,0,referral,7
1.59503E+16,Organic Search,0.25,12,4,Chrome,mobile,1,Android,7.5,6,0.5,organic,0
1.64742E+16,Social,0,19,1,Chrome,desktop,0,Macintosh,16,15,0,referral,8
1.66004E+16,Referral,0,21,3,Chrome,desktop,0,Macintosh,39,26,0,referral,8
1.69259E+16,Referral,0,14,6,Chrome,desktop,0,Macintosh,8.5,7,0.166666667,referral,2
1.82482E+16,Organic Search,1,12,1,Chrome,desktop,0,Macintosh,26,22,0,organic,7
1.83861E+16,Organic Search,0,2,2,Safari,mobile,1,iOS,12,10.5,0,organic,4
1.84005E+16,Organic Search,0,5,1,Chrome,desktop,0,Macintosh,25,23,0,organic,1
1.97728E+16,Organic Search,0,21,2,Chrome,desktop,0,Macintosh,33.5,25.5,0,organic,3
1.98147E+16,Referral,0,10.5,8,Chrome,desktop,0,Macintosh,6,4.5,0.25,referral,6
2.01537E+16,Referral,0,14,3,Chrome,desktop,0,Macintosh,35,25,0,referral,8
2.03425E+16,Referral,0.5,7,2,Chrome,desktop,0,Macintosh,74.5,55.5,0,referral,7
2.05029E+16,Referral,0.666666667,16,3,Chrome,desktop,0,Macintosh,10,8,0.333333333,referral,2
2.07124E+16,Referral,0,9.5,2,Chrome,desktop,0,Macintosh,35,24,0,referral,1
2.07728E+16,Direct,0,4,3,Chrome,desktop,0,Macintosh,6,6,0,(none),5
2.09412E+16,Organic Search,1,19,3,Internet Explorer,desktop,0,Windows,13,11,0.333333333,organic,2
2.17246E+16,Organic Search,0,18,1,Chrome,desktop,0,Macintosh,27,21,0,organic,3
2.19394E+16,Paid Search,0,2,1,Chrome,desktop,0,Macintosh,107,82,0,cpc,1
2.2079E+16,Referral,0,19,1,Chrome,desktop,0,Macintosh,82,64,0,referral,3
2.41642E+16,Organic Search,0.166666667,21.5,6,Chrome,desktop,0,Windows,17,13.5,0,organic,5
2.4304E+16,Referral,0,11.5,2,Chrome,desktop,0,Macintosh,20,17.5,0,referral,8
2.43145E+16,Referral,0.5,14,4,Chrome,desktop,0,Macintosh,11,8.5,0,referral,5
2.45073E+16,Direct,0,13,3,Chrome,desktop,0,Macintosh,23,16,0,(none),8
2.47256E+16,Referral,0,17,1,Chrome,desktop,0,Chrome OS,71,56,0,referral,3
2.49326E+16,Paid Search,0.5,15.5,2,Chrome,desktop,0,Windows,26.5,21.5,0,cpc,7
